RecordNo,Q43,Q46,Q17,Zip,Q37,Q56,Q8A,Q53,Q58,Q2,FIPS,Q8B
"1,179",3,2,3,23505,2,3,2,2,,1,Norfolk,1
"1,192",1,2,2,23665,2,4,,1,,1,Hampton,
"1,203",2,2,2,23669,1,1,4,1,6,1,Hampton,3
"1,213",2,2,2,23503,3,1,3,7,8,1,Norfolk,2
"1,223",3,2,1,23462,2,3,,2,,1,Virginia Beach,
"1,231",1,2,1,23602,2,1,,1,7,1,Newport News,
"1,235",1,2,3,23503,2,1,,1,10,1,Virginia Beach,
"1,254",2,2,3,23322,1,1,,1,3,1,Chesapeake,
"1,261",1,2,2,23663,1,1,1,2,7,1,Hampton,1
"1,263",3,2,2,23602,2,2,,1,6,1,Newport News,
"1,275",2,2,2,23503,2,1,1,1,11,1,Norfolk,1
"1,278",2,2,3,23663,2,3,,2,,1,Hampton,
"1,282",2,2,3,23504,2,1,,2,8,2,Virginia Beach,
"1,290",2,2,3,23455,1,5,,1,,1,Virginia Beach,
"1,327",1,2,3,23464,1,1,,1,9,1,Virginia Beach,
"1,338",1,2,1,23454,1,5,,1,,1,Virginia Beach,
"1,346",1,2,3,23454,1,1,,1,11,1,Virginia Beach,
"1,372",2,2,1,23607,3,1,1,2,1,1,Newport News,1
"1,375",1,2,3,23703,1,5,,1,,1,Portsmouth,
"1,401",2,2,3,23703,2,5,,2,,1,Portsmouth,
"1,449",3,2,3,23606,3,2,,7,2,1,Newport News,
"1,453",1,2,3,23321,2,5,,1,,1,Chesapeake,
"1,454",1,2,1,23502,2,5,,1,,1,Virginia Beach,
"1,455",1,2,1,23435,1,1,,2,11,1,Suffolk,
"1,467",2,2,1,23320,3,1,3,8,3,2,Virginia Beach,2
"1,483",2,2,2,23452,1,5,,1,,1,Virginia Beach,
"1,488",2,2,2,23462,3,3,1,1,,2,Virginia Beach,1
"1,495",1,2,1,23661,1,3,,1,,1,Hampton,
"1,502",2,2,2,23464,1,1,,5,11,1,Virginia Beach,
"1,513",3,2,2,23518,2,5,,1,,1,Virginia Beach,
"1,518",3,2,2,23666,3,1,,7,6,1,Hampton,
"1,529",2,2,3,23456,2,1,2,1,6,1,Virginia Beach,1
"1,544",2,2,2,23320,2,5,,1,,1,Chesapeake,
"1,556",1,2,2,23608,1,2,,1,8,1,Newport News,
"1,575",1,2,1,23454,1,5,,1,,1,Virginia Beach,
"1,586",2,2,2,23664,2,1,2,1,10,1,Hampton,1
"1,624",3,2,2,23663,2,2,,1,2,1,Hampton,
"1,630",1,2,2,23608,1,4,,1,,1,Newport News,
"1,646",2,2,3,23454,2,5,,1,,1,Virginia Beach,
"1,653",2,2,2,23692,2,1,1,2,11,1,Newport News,1
"1,656",2,2,1,23322,2,3,,2,,2,Chesapeake,
"1,664",1,2,1,23320,2,4,,1,,1,Chesapeake,
"1,669",2,2,5,23508,1,4,,1,,2,Norfolk,
"1,685",2,2,2,23518,2,2,,1,2,1,Norfolk,
"1,687",1,2,2,23455,1,1,2,1,5,1,Virginia Beach,1
"1,688",1,2,3,23322,1,5,,1,,2,Chesapeake,
"1,707",1,2,3,23451,1,2,1,1,11,1,Virginia Beach,1
"1,719",2,2,1,23454,1,4,1,2,,1,Virginia Beach,1
"1,771",1,2,3,23435,1,2,,1,11,1,Portsmouth,
"1,792",1,2,2,23456,1,1,,1,11,1,Virginia Beach,
"1,793",1,2,3,23703,2,1,,1,,1,Portsmouth,
"1,797",1,2,3,23453,1,1,,1,4,1,Virginia Beach,
"1,810",2,2,3,23321,2,3,,1,,2,Portsmouth,
"1,819",2,2,2,23323,2,1,2,1,9,1,Portsmouth,2
"1,824",2,2,2,23701,2,1,,1,7,1,Portsmouth,
"1,840",2,2,3,23607,4,1,1,2,4,1,Newport News,1
"1,844",1,2,3,23322,1,4,,1,,1,Chesapeake,
"1,849",3,2,1,23502,2,3,2,2,,1,Virginia Beach,1
"1,858",2,2,1,23464,2,2,,4,6,2,Virginia Beach,
"1,870",2,2,2,23435,2,1,,2,,1,Suffolk,
"1,889",2,2,2,23703,2,5,,1,,1,Portsmouth,
"1,890",1,2,2,23322,1,5,,1,,1,Chesapeake,
"1,891",1,2,2,23602,1,5,,1,,1,Newport News,
"1,898",2,2,1,23320,2,2,1,2,10,1,Chesapeake,1
"1,972",1,2,3,23464,3,2,2,2,3,,Virginia Beach,1
"1,985",1,2,2,23454,1,5,,2,,1,Virginia Beach,
"1,988",1,2,2,23321,1,1,,1,11,1,Portsmouth,
"2,001",2,2,3,23452,2,1,1,2,1,1,Virginia Beach,1
"2,002",1,2,4,23602,1,1,1,2,11,1,Newport News,1
"2,033",2,2,2,23513,2,5,,1,,1,Norfolk,
"2,035",1,2,3,23505,2,5,,1,,1,Norfolk,
"2,046",1,2,2,23518,3,1,,3,11,2,Norfolk,
"2,050",1,2,1,23321,1,5,,2,,1,Chesapeake,
"2,055",2,2,2,23505,1,1,,1,4,1,Norfolk,
"2,068",1,2,3,23669,2,5,,8,,2,Hampton,
"2,079",88,2,3,23321,1,1,,1,11,1,Chesapeake,
"2,090",1,2,3,23452,1,2,,1,11,1,Virginia Beach,
"2,100",1,2,3,23434,1,1,1,2,11,1,Suffolk,1
"2,113",2,2,3,23321,1,2,,1,11,1,Portsmouth,
"2,128",2,2,2,23503,1,1,,1,11,1,Norfolk,
"2,138",1,2,1,23505,1,5,,1,,1,Norfolk,
"2,142",2,2,2,23661,2,1,,1,11,2,Newport News,
"2,144",1,2,2,23454,1,1,,1,8,1,Virginia Beach,
"2,163",88,2,2,23507,1,1,,1,9,1,Virginia Beach,
"2,184",2,2,2,23454,2,4,,1,,1,Virginia Beach,
"2,190",1,2,3,23507,1,5,,1,,1,Virginia Beach,
"2,192",1,2,3,23452,1,5,,1,,1,Virginia Beach,
"2,202",1,2,3,23454,1,2,,2,7,1,Virginia Beach,
"2,208",2,2,3,23508,2,1,,,10,1,Norfolk,
"2,213",1,2,2,23704,2,5,,1,,1,Portsmouth,
"2,217",3,2,2,23661,2,5,,2,,1,Hampton,
"2,228",1,2,1,23322,2,2,2,1,11,1,Chesapeake,1
"2,239",2,2,2,23703,2,1,,2,8,1,Portsmouth,
"2,249",1,2,3,23455,1,1,,3,9,1,Virginia Beach,
"2,256",2,1,2,23702,2,5,,2,,1,Portsmouth,
"2,264",4,2,1,23504,2,5,,2,,1,Norfolk,
"2,276",1,2,1,23320,1,1,,1,7,1,Chesapeake,
"2,278",1,2,2,23321,1,1,,1,10,1,Chesapeake,
"2,283",1,2,5,23452,1,3,,1,,1,Virginia Beach,
"2,298",1,2,3,23435,1,5,,2,,1,Suffolk,
"2,305",1,2,1,23452,2,5,,3,,1,Virginia Beach,
"2,307",2,2,2,23601,1,5,2,1,,1,Newport News,2
"2,326",2,2,1,23320,2,1,2,2,8,2,Virginia Beach,1
"2,329",88,2,2,23451,1,4,,1,,1,Virginia Beach,
"2,358",2,2,3,23605,2,3,,2,,1,Hampton,
"2,361",1,2,3,23513,2,1,,1,9,1,Virginia Beach,
"2,366",1,1,1,23692,1,1,1,1,11,1,Newport News,1
"2,371",2,2,3,23322,2,1,,2,6,1,Chesapeake,
"2,395",1,1,2,23456,1,1,1,1,10,1,Virginia Beach,1
"2,396",1,2,5,23503,2,1,,3,,1,Virginia Beach,
"2,414",2,2,2,23456,1,5,,1,,1,Virginia Beach,
"2,423",2,2,4,23435,2,5,,1,,1,Portsmouth,
"2,429",2,2,2,23464,1,1,,2,7,1,Virginia Beach,
"2,448",2,2,2,23321,2,3,,2,,2,Chesapeake,
"2,456",1,2,2,23507,1,5,,1,,1,Norfolk,
"2,467",2,2,3,23320,1,1,,1,6,1,Norfolk,
"2,475",2,2,2,23322,1,5,,1,,2,Chesapeake,
"2,477",1,2,2,23502,2,3,,2,,1,Virginia Beach,
"2,481",2,2,2,23452,1,1,,1,,1,Virginia Beach,
"2,495",1,2,3,23513,2,3,,2,,1,Norfolk,
"2,510",2,2,3,23703,2,4,2,2,,1,Portsmouth,2
"2,514",1,2,1,23454,1,1,1,7,6,1,Virginia Beach,1
"2,536",2,2,2,23324,2,1,,2,9,1,Chesapeake,
"2,540",1,2,2,23323,1,2,,1,6,1,Chesapeake,
"2,547",3,2,1,23602,3,1,3,2,11,1,Newport News,2
"2,558",2,2,2,23323,1,2,,2,10,2,Chesapeake,
"2,567",4,2,2,23456,1,4,1,1,,1,Virginia Beach,1
"2,568",1,2,4,23518,1,5,,1,,1,Norfolk,
"2,569",2,2,3,23606,2,5,,1,,1,Newport News,
"2,584",1,2,3,23324,2,2,,2,4,1,Chesapeake,
"2,585",1,2,1,23452,2,5,,1,,1,Virginia Beach,
"2,586",2,2,3,23523,3,1,2,2,4,1,Chesapeake,2
"2,631",4,2,2,23322,2,1,,,,1,Chesapeake,
"2,648",1,2,5,23320,1,5,,1,,1,Chesapeake,
"2,651",1,2,2,23702,1,1,,1,11,1,Chesapeake,
"2,657",1,2,2,23669,2,5,,2,,1,Hampton,
"2,658",2,2,2,23608,2,1,4,1,6,1,Newport News,1
"2,665",1,2,4,23455,1,1,,1,11,1,Virginia Beach,
"2,671",2,2,1,23608,1,3,2,7,,1,Newport News,2
"2,674",1,2,1,23454,1,1,,1,11,1,Virginia Beach,
"2,688",2,2,2,23435,1,5,,1,,1,Portsmouth,
"2,706",1,2,2,23513,2,4,,2,,2,Norfolk,
"2,714",1,2,2,23320,1,1,,2,3,1,Chesapeake,
"2,718",2,2,3,23320,2,1,,2,5,1,Chesapeake,
"2,730",2,2,2,23456,2,1,,2,6,1,Virginia Beach,
"2,739",2,2,2,23601,1,1,,1,8,1,Newport News,
"2,752",1,2,3,23703,1,5,,1,,1,Portsmouth,
"2,763",2,2,4,23456,1,1,1,1,11,1,Virginia Beach,1
"2,773",2,2,2,23323,2,1,2,2,,1,Chesapeake,2
"2,810",1,2,3,23692,2,5,,1,,1,Newport News,
"2,818",3,2,2,23462,3,5,,3,,1,Virginia Beach,
"2,845",1,2,3,23503,2,4,2,7,,1,Virginia Beach,2
"2,852",1,2,3,23322,1,1,,2,11,1,Chesapeake,
"2,872",1,2,2,23320,2,5,,2,,1,Chesapeake,
"2,875",1,1,3,23562,2,2,,2,11,1,Virginia Beach,
"2,876",2,2,2,23455,1,5,,1,,1,Virginia Beach,
"2,891",2,2,1,23323,1,1,,,,1,Chesapeake,
"2,899",1,2,3,23666,2,1,2,1,11,1,Hampton,1
"2,914",2,2,1,23451,1,1,,1,,1,Virginia Beach,
"2,915",2,2,3,23321,2,1,2,2,7,1,Chesapeake,1
"2,918",2,2,1,23606,1,1,2,1,11,1,Newport News,2
"2,933",2,1,1,23435,1,2,1,1,11,1,Suffolk,2
"2,937",2,2,2,23320,1,2,1,2,4,1,Norfolk,1
"2,939",2,2,2,23669,1,1,,8,11,1,Hampton,
"2,991",1,2,3,23462,1,1,,1,8,1,Virginia Beach,
"3,013",1,2,2,23323,1,5,,1,,1,Chesapeake,
"3,015",2,2,2,23701,2,1,,2,6,2,Portsmouth,
"3,061",2,2,3,23454,2,2,2,7,9,1,Virginia Beach,1
"3,082",3,2,3,23661,3,1,,2,4,2,Hampton,
"3,088",2,2,2,23323,2,1,1,1,8,1,Chesapeake,1
"3,092",2,2,3,23323,1,1,3,1,,1,Portsmouth,1
"3,095",2,2,2,23434,2,1,2,1,6,1,Suffolk,1
"3,113",1,2,2,23322,1,5,,1,,1,Chesapeake,
"3,115",1,2,4,23608,1,5,,1,,2,Newport News,
"3,123",1,2,3,23434,2,1,,1,,2,Suffolk,
"3,124",1,2,3,23505,1,4,,1,,1,Norfolk,
"3,138",1,2,3,23464,2,4,1,8,,1,Virginia Beach,1
"3,143",2,2,3,23464,2,1,3,1,7,2,Virginia Beach,1
"3,145",2,2,4,23606,1,5,,1,,1,Newport News,
"3,157",1,2,1,23435,1,5,,1,,1,Portsmouth,
"3,170",2,1,3,23666,2,1,2,2,,1,Hampton,2
"3,177",1,2,3,23323,3,4,,1,,1,Portsmouth,
"3,187",1,2,5,23602,1,1,3,1,7,1,Newport News,2
"3,202",1,2,4,23701,3,5,,1,,1,Chesapeake,
"3,207",1,2,2,23456,1,1,,1,11,1,Virginia Beach,
"3,214",1,2,4,23666,1,1,,2,9,1,Hampton,
"3,217",1,2,1,23608,2,5,,1,,1,Newport News,
"3,233",2,2,3,23703,1,1,,1,10,1,Portsmouth,
"3,235",2,2,3,23693,1,1,,1,10,1,Newport News,
"3,243",2,2,3,23502,1,1,,2,11,1,Virginia Beach,
"3,260",2,2,2,23454,1,2,,1,,1,Virginia Beach,
"3,262",2,2,3,23454,1,5,,1,,1,Virginia Beach,
"3,266",2,2,3,23464,1,5,,1,,1,Virginia Beach,
"3,292",1,2,3,23666,1,2,,2,7,1,Hampton,
"3,297",1,2,4,23322,1,2,2,1,7,1,Chesapeake,2
"3,302",1,2,1,23434,2,2,,2,2,1,Suffolk,
"3,306",1,2,2,23324,2,1,,1,7,2,Chesapeake,
"3,329",2,2,5,23505,1,4,,1,,,Norfolk,
"3,348",1,2,3,23464,1,2,1,1,10,1,Virginia Beach,1
"3,354",88,2,2,23320,2,2,,1,,1,Chesapeake,
"3,356",2,2,2,23703,2,5,,2,,1,Portsmouth,
"3,373",2,2,2,23608,2,4,,2,,1,Newport News,
"3,382",2,2,2,23510,2,1,,1,11,1,Virginia Beach,
"3,393",2,2,2,23451,1,1,,1,10,1,Virginia Beach,
"3,395",1,2,2,23602,2,1,,1,11,1,Newport News,
"3,404",3,2,3,23455,1,3,,1,,1,Virginia Beach,
"3,409",1,2,4,23456,2,3,2,2,,1,Virginia Beach,1
"3,416",1,2,2,23464,2,1,,1,11,1,Virginia Beach,
"3,417",2,2,2,23456,2,5,,1,,1,Virginia Beach,
"3,442",1,2,4,23454,1,1,1,1,11,1,Virginia Beach,1
"3,452",2,2,2,23434,2,5,,2,,,Suffolk,
"3,493",1,2,2,23322,2,5,,1,,1,Chesapeake,
"3,508",1,2,1,23669,1,1,1,1,8,1,Hampton,1
"3,515",2,2,3,23320,2,1,,5,3,1,Chesapeake,
"3,518",2,2,2,23320,1,5,,1,,1,Chesapeake,
"3,522",1,2,3,23508,2,5,,7,,1,Norfolk,
"3,554",2,2,1,23704,2,,,1,,1,Portsmouth,
"3,571",1,2,2,23601,3,2,,1,2,1,Newport News,
"3,573",1,2,2,23651,1,5,,1,,1,Hampton,
"3,586",1,2,2,23435,1,1,1,1,11,1,Portsmouth,1
"3,587",2,2,3,23601,2,4,,8,,1,Newport News,
"3,590",2,2,2,23666,2,4,,1,,1,Hampton,
"3,644",3,2,3,23601,2,5,,1,,2,Newport News,
"3,648",3,2,3,23502,2,5,,1,,1,Virginia Beach,
"3,657",1,2,2,23322,1,1,1,1,11,1,Chesapeake,1
"3,660",1,2,2,23322,2,5,,1,,1,Chesapeake,
"3,682",1,2,3,23320,2,5,,1,,2,Chesapeake,
"3,687",1,2,5,23322,2,1,2,2,11,1,Chesapeake,2
"3,695",1,2,2,23321,1,1,,4,11,1,Chesapeake,
"3,696",2,2,1,23669,1,5,,2,,1,Hampton,
"3,698",3,2,3,23462,2,3,,5,,1,Virginia Beach,
"3,699",1,2,3,23452,1,5,,1,,1,Virginia Beach,
"3,711",1,2,3,23452,1,4,1,1,,1,Virginia Beach,1
"3,713",2,2,4,23464,1,1,,2,11,1,Virginia Beach,
"3,716",2,2,2,23452,1,1,,1,4,2,Virginia Beach,
"3,724",3,2,2,23324,2,5,,2,,1,Chesapeake,
"3,725",1,2,2,23503,2,4,,1,,1,Virginia Beach,
"3,735",2,2,1,23454,2,5,,1,,1,Virginia Beach,
"3,742",1,2,2,23704,1,3,,2,,1,Suffolk,
"3,743",2,2,3,23454,1,1,1,2,5,1,Virginia Beach,1
"3,755",1,2,2,23513,1,5,,2,,1,Norfolk,
"3,761",1,2,3,23453,2,2,,1,3,1,Virginia Beach,
"3,763",1,2,3,23322,1,2,,1,,1,Chesapeake,
"3,796",2,2,3,23669,2,1,2,2,5,1,Hampton,1
"3,805",1,2,3,23666,1,1,2,2,11,1,Hampton,1
"3,827",2,2,5,23607,2,1,1,2,4,1,Newport News,1
"3,831",2,2,2,23703,2,5,,1,,1,Portsmouth,
"3,835",2,2,2,23518,1,5,,1,,2,Norfolk,
"3,842",2,2,2,23323,1,5,,1,,1,Portsmouth,
"3,850",1,2,2,23456,1,1,,1,10,1,Virginia Beach,
"3,857",2,2,2,23503,1,5,,1,,1,Norfolk,
"3,860",2,2,3,23669,1,4,1,2,,1,Hampton,1
