RecordNo,Q43,Q46,Q17,Zip
"2,718",2,2,3,23320
"2,730",2,2,2,23456
"2,739",2,2,2,23601
"2,752",1,2,3,23703
"2,763",2,2,4,23456
"2,773",2,2,2,23323
"2,810",1,2,3,23692
"2,818",3,2,2,23462
"2,845",1,2,3,23503
"2,852",1,2,3,23322
"2,872",1,2,2,23320
"2,875",1,1,3,23562
"2,876",2,2,2,23455
"2,891",2,2,1,23323
"2,899",1,2,3,23666
"2,914",2,2,1,23451
"2,915",2,2,3,23321
"2,918",2,2,1,23606
"2,933",2,1,1,23435
"2,937",2,2,2,23320
"2,939",2,2,2,23669
"2,991",1,2,3,23462
"3,013",1,2,2,23323
"3,015",2,2,2,23701
"3,061",2,2,3,23454
"3,082",3,2,3,23661
"3,088",2,2,2,23323
"3,092",2,2,3,23323
"3,095",2,2,2,23434
"3,113",1,2,2,23322
"3,115",1,2,4,23608
"3,123",1,2,3,23434
"3,124",1,2,3,23505
"3,138",1,2,3,23464
"3,143",2,2,3,23464
"3,145",2,2,4,23606
"3,157",1,2,1,23435
"3,170",2,1,3,23666
"3,177",1,2,3,23323
"3,187",1,2,5,23602
"3,202",1,2,4,23701
"3,207",1,2,2,23456
"3,214",1,2,4,23666
"3,217",1,2,1,23608
"3,233",2,2,3,23703
"3,235",2,2,3,23693
"3,243",2,2,3,23502
"3,260",2,2,2,23454
"3,262",2,2,3,23454
"3,266",2,2,3,23464
"3,292",1,2,3,23666
"3,297",1,2,4,23322
"3,302",1,2,1,23434
"3,306",1,2,2,23324
"3,329",2,2,5,23505
"3,348",1,2,3,23464
"3,354",88,2,2,23320
"3,356",2,2,2,23703
"3,373",2,2,2,23608
"3,382",2,2,2,23510
"3,393",2,2,2,23451
"3,395",1,2,2,23602
"3,404",3,2,3,23455
"3,409",1,2,4,23456
"3,416",1,2,2,23464
"3,417",2,2,2,23456
"3,442",1,2,4,23454
"3,452",2,2,2,23434
"3,493",1,2,2,23322
"3,508",1,2,1,23669
"3,515",2,2,3,23320
"3,518",2,2,2,23320
"3,522",1,2,3,23508
"3,554",2,2,1,23704
"3,571",1,2,2,23601
"3,573",1,2,2,23651
"3,586",1,2,2,23435
"3,587",2,2,3,23601
"3,590",2,2,2,23666
"3,644",3,2,3,23601
"3,648",3,2,3,23502
"3,657",1,2,2,23322
"3,660",1,2,2,23322
"3,682",1,2,3,23320
"3,687",1,2,5,23322
"3,695",1,2,2,23321
"3,696",2,2,1,23669
"3,698",3,2,3,23462
"3,699",1,2,3,23452
"3,711",1,2,3,23452
"3,713",2,2,4,23464
"3,716",2,2,2,23452
